,key,en-us,zh-cn,cs-cz,de-de,fr-fr,pt-br,ja-jp,ua-ua
48,file_transmit_host_message_preview_over_size,"This item is over 1 MB, are you sure you want to open it?",文件超过 1 MB，确定要打开吗?,Tato položka má přes 1 MB – opravdu ji chcete otevírat?,"Das Bild ist über 1 MB groß, wirklich öffnen?","Cet élément fait plus de 1 Mo, est-il sûr de l'ouvrir ?",Este item tem mais de 1 MB. Tem certeza de que quer abrir?,file_transmit_host_message_preview_over_size,"Розмір обраного об'єкта перевищує 1МБ, чи ви впевнені в тому, що бажаете відкрити його?"
49,file_transmit_host_message_files_download_to,Please select a folder to save to,将文件下载到所选文件夹,Vyberte složku do které uložit,Bitte wählen Sie den Speicherpfad aus,Veuillez sélectionner un dossier pour enregistrer les fichiers,Selecione uma pasta para salvar,file_transmit_host_message_files_download_to,"Будь-ласка, оберіть директорію для збереження"
50,file_transmit_host_message_files_download_to_dir,Use this folder,选择该文件夹,Použít tuto složku,Den Ordner verwenden,Utiliser ce dossier,Usar esta pasta,file_transmit_host_message_files_download_to_dir,Використовувати поточну директорію
51,file_transmit_host_message_select_files_to_upload,Please select files to upload,请选择要上传的文件,Vyberte soubory k nahrání,Bitte die Dateien zum Hochladen auswählen,Veuillez sélectionner les fichiers à télécharger,Selecione os arquivos para fazer o upload,file_transmit_host_message_select_files_to_upload,"Будь-ласка, оберіть файли для завантаження"
52,file_transmit_host_command_refresh,Refresh (F5),刷新(F5),Načíst znovu (F5),Aktualisieren (F5),Actualiser (F5),Atualizar (F5),file_transmit_host_command_refresh,Оновити (F5)
53,file_transmit_host_command_create_folder,Create a folder,新建文件夹,Vytvořit složku,Ordner erstellen,Créer le dossier,Criar uma nova pasta,file_transmit_host_command_create_folder,Створити директорію
54,file_transmit_host_command_upload,Upload (Ctrl + V),上传(Ctrl + V),Nahrát (Ctrl + V),Upload (STRG + V),Télécharger (Ctrl + V),Enviar (Ctrl + V),file_transmit_host_command_upload,Завантажити (Ctrl + V)
55,file_transmit_host_command_select_files_upload,Select files to upload,选择文件上传,Vyberte soubory k nahrání,Dateien zum Hochladen auswählen,Sélectionnez les fichiers à télécharger,Selecione os arquivos para fazer o upload,file_transmit_host_command_select_files_upload,Обрати файли для завантаження
56,file_transmit_host_command_select_folder_upload,Select a folder to upload,选择文件夹上传,Vyberte složku k nahrání,Ordner zum Hochladen auswählen,Sélectionnez le dossier à télécharger,Selecione uma pasta para fazer o upload,file_transmit_host_command_select_folder_upload,Оберати віддалену папку для завантаження
57,file_transmit_host_command_delete,Delete (Del),删除(Del),Smazat (Del),Löschen (ENTF),Supprimer (Suppr),Deletar (Del),file_transmit_host_command_delete,Видалити (Del)
58,file_transmit_host_command_save_to,Save to... (Ctrl + S),保存到...(Ctrl + S),Uložit do… (Ctrl + S),Speichern nach... (STRG + S),Enregistrer sous ... (Ctrl + S),Salvar como... (Ctrl + S),file_transmit_host_command_save_to,Зберігти до… (Ctrl + S)
59,file_transmit_host_warning_same_names_title,Replace or cancel,替换或跳过,Nahradit nebo zrušit,Austauschen oder abbrechen,Remplacer ou annuler,Substituir ou cancelar,file_transmit_host_warning_same_names_title,Замінити або відмінити
60,file_transmit_host_warning_same_names,The destination has {0} file(s) with the same name(s). Do you want to continue?,目标包含{0}个同名文件，需要替换吗？,Cíl už obsahuje {0} takto nazvaný soubor(y). Chcete je přepsat?,Das Ziel hat {0} Dateien mit den gleichen Namen. Möchten Sie fortfahren?,La destination contient {0} fichiers portant les mêmes noms. Voulez-vous continuer?,O destino tem {0} arquivo(s) com o(s) mesmo(s) nome(s). Você quer continuar?,file_transmit_host_warning_same_names,Маршрут призначення вже містить 0 файлів з однаковими іменами
61,host_reconecting_info,Reconnecting...,正尝试重新连接...,Opětovné připojování…,Wiederverbinden...,Reconnexion ...,Reconectando...,host_reconnecting_info,Повторне підключення
62,Options,Options,设置,Předvolby,Optionen,Choix,Opções,オプション,Налаштування
63,About,About,关于,O aplikaci,Über,À propos,Sobre,約,Про додаток
64,Toggle Cards/List,Toggle Cards/List,切换卡片/列表,Přepnout mezi kartami/seznamem,Karten/Liste umschalten,Basculer les Tuiles/Liste,Alternar Cartões/Lista,カード/リストの切り替え,Перемикач Картки/
65,system_options_general_title,General,常规,Obecné,Allgemein,Général,Geral,system_options_general_title,Загальн
66,Language,Language,语言,Jazyk,Sprache,Langue,Idioma,言語,Мова
67,Startup,Startup,启动,Při startu,Start,Commencez,Inicialização,起動,Запуск
68,system_options_general_start_when_win_login,Run automatically at OS startup,开机自启动,Spouštět automaticky při přihlášení do systému,Mit dem Betriebssystem starten,Exécuter automatiquement au démarrage du système d'exploitation,Executar automaticamente na inicialização do SO,system_options_general_start_when_win_login,Запускатися автоматично при авторизації в Windows
69,system_options_general_start_minimized,Start minimized,启动时最小化到托盘,Spouštět minimalizované,Minimiert starten,Démarrer minimisé,Iniciar minimizado,system_options_general_start_minimized,Відкрити зі схованим вікном
70,Confirm before closing,Confirm before closing,关闭远程会话前弹窗确认,Zavírat až po potvrzení,Bestätigen Sie vor dem Schließen,Confirmer avant de fermer,Confirme antes de fechar,閉店前に確認,Підтвердити перед закриттям
71,system_options_general_log_file_path,Log file,日志文件,Soubor se záznamem událostí,Logdatei,Fichier journal,Arquivo de LOG,system_options_general_log_file_path,Файл для збережння логів
72,system_options_quick_description,"Quick connect allows you to open up a quick connection bar via a hot key, then you can type the keyword and start connection by pressing the Enter key",快速连接允许用户在桌面任何位置，通过快捷键唤起快速连接搜索框，键入关键字筛选所要连接的服务器，并按下回车开启远程连接。,"Rychlé připojení umožňuje zobrazit lištu rychlého připojení pomocí klávesové zkratky, poté je možné napsat klíčové slovo a navázat připojení stisknutím klávesy Enter","Mit der Schnellverbindungsfunktion können Sie eine Schnellverbindungsleiste per Tastendruck aufrufen, dann können Sie das Schlüsselwort eingeben und die Verbindung durch drücken der Eingabetaste öffnen.","La connexion rapide vous permet de raccrocher une barre de connexion rapide par raccourci clavier, puis vous pouvez taper le mot-clé et démarrer la connexion en appuyant sur la touche Entrée","A conexão rápida permite que você abra uma barra de conexão rápida por meio de uma tecla de atalho, você pode digitar a palavra-chave e iniciar a conexão pressionando a tecla Enter",system_options_quick_description,"Швидке підключення дозволяє вам відкривати панель для взаємодії з підключенням за допомогою комбінації клавіш, після цього ви можете вказати ключове слово для пошуку і обрав потрібне почати його натиснув на Enter."
73,system_options_quick_match_providers,Keyword-Matchers,关键词匹配器,Hledání shod s klíčovými slovy,system_options_quick_match_providers,Mots clés correspondants,Correspondentes de palavras-chave,system_options_quick_match_providers,Збіг по ключовим словам
74,Launcher,Launcher,启动器,Spouštěč,Startprogramm,Lanceur,Atalhos,ランチャー,Лаунчер
75,system_options_quick_launcher_enable,Enable the launcher,启用,Zapnout spouštěč,Aktiv,Activer,Ative os atalhos,system_options_quick_launcher_enable,Увімкнути лаунчер
76,system_options_quick_launcher_hotkey,Hot key,快捷键,Klávesová zkratka,Hotkey,Raccourci clavier,Tecla de atalho,system_options_quick_launcher_hotkey,Комбінація клавіш вже використовується
77,system_options_data_security_title,Data & Security,数据与安全,Data a zabezpečení,Datenbank & Sicherheit,Sécurité des données,Dados & Segurança,system_options_data_security_title,Данные и безопасность
78,system_options_data_security_database,Database,数据库,Databáze,Datenbank,Base de données,Base de dados,system_options_data_security_database,База даних
79,system_options_data_security_database_migrate,Migrate,移动,Přestěhovat,Migrieren,Migrer,Migrar,system_options_data_security_database_migrate,Міграція
80,system_options_data_security_rsa_title,RSA encryption,RSA加密,RSA šifrování,RSA Verschlüsselung,Cryptage RSA,Criptografia RSA,system_options_data_security_rsa_title,RSA шифрування
81,system_options_data_security_rsa_encrypt,Encrypt,生成加密,Šifrovat,Verschlüsseln,Crypter,Criptografar,system_options_data_security_rsa_encrypt,Зашифрувати
82,system_options_data_security_rsa_encrypt_dialog_title,Load an old key or select a path to save your current key,选择现有私钥或设置新私钥放置位置,Načtěte původní klíč nebo vyberte umístění pro uložení toho stávajícího,"Laden Sie einen alten RSA-Schlüssel oder wählen Sie den Pfad, um den RSA-Schlüssel zu öffnen.",Chargez une ancienne clé ou sélectionnez un chemin pour votre clé,Carregue uma chave antiga ou selecione um caminho para salvar sua chave atual,system_options_data_security_rsa_encrypt_dialog_title,Завантажити старий ключ або обрати шлях до збереження поточного шляху
83,system_options_data_security_rsa_decrypt,Decrypt,清除加密,Rozšifrovat,Entschlüsseln,Décrypter,Descriptografar,system_options_data_security_rsa_decrypt,Дешифрувати
84,system_options_data_security_rsa_public_key,Public key,公钥,Veřejný klíč,Öffentlicher Schlüssel,Clé publique,Chave pública,system_options_data_security_rsa_public_key,Публічний ключ
85,system_options_data_security_rsa_private_key_path,Private key path,私钥,Popis umístění veřejného klíče,Pfad zum privaten Schlüssel,Chemin de la clé privée,Caminho da chave privada,system_options_data_security_rsa_private_key_path,Шлях до приватного ключа
86,system_options_data_security_export_dialog_title,Caution: Your data will be saved unencrypted!,导出数据将以明文显示，请妥善保管！,Varování: vaše data budou uložena nešifrovaná!,Achtung: Ihre Daten werden unverschlüsselt gespeichert,Mise en garde : vos données seront enregistrées non cryptées !,Atenção: Seus dados serão salvos sem criptografia!,system_options_data_security_export_dialog_title,Увага: Ваші дані були збережені незашифровані!
87,system_options_data_security_info_data_processing,Processing data. Do not close the app!,数据处理中，请勿关闭程序。,Zpracovávají se data. Nezavírejte aplikaci!,"Datenverarbeitung, Programm bitte nicht schließen.","Traitement des données, ne fermez pas l'application.",Processando dados. Não feche o aplicativo!,system_options_data_security_info_data_processing,Обробка даних. Не закривайте додаток!
88,system_options_data_security_info_encrypt_private_key_warning,Protect your private key carefully! It's the only key that can decrypt your data!,请妥善保管私钥，丢失后数据将无法找回！,Svůj soukromý klíč si dobře opatrujte! Jedině pomocí něho se dostanete ke svým datům!,"Bewahren Sie Ihren privaten Schlüssel sorgfältig auf, er ist der einzige Weg um Ihre Daten zu entschlüsseln!","Protégez soigneusement votre clé privée, c'est la seule clé pour décrypter vos données !",Proteja sua chave privada com cuidado! É a única chave que pode descriptografar seus dados!,system_options_data_security_info_encrypt_private_key_warning,"Ретельно захищайте свій закритий ключ! Це єдиний ключ, який може розшифрувати ваші дані!"
89,system_options_data_security_info_clear_rsa,Would you like to clear RSA encryption?,是否清除RSA加密?,Přejete si odstranit RSA šifrování?,Möchten Sie die RSA-Verschlüsselung aufheben?,Souhaitez-vous effacer le cryptage RSA ?,Deseja limpar a criptografia RSA?,system_options_data_security_info_clear_rsa,Чи хочете ви очистити шифрування RSA?
90,system_options_data_security_error_can_not_open,Database: Permission denied for reading or the file is not a database or the file is an encrypted database!,数据库：所选文件已被占用或不是数据库或该数据库已被加密！,"Databáze: odepřeno oprávnění pro čtení nebo soubor není databází, případně je šifrovaná!",Datei ist keine Datenbank oder Datei ist eine verschlüsselte Datenbank!,Base de données : autorisation de lecture refusée ou le fichier n'est pas une base de données ou le fichier est une base de données cryptée !,Banco de dados: Permissão negada para leitura. Ou o arquivo não é um banco de dados ou o arquivo é um banco de dados criptografado!,system_options_data_security_error_can_not_open,"База даних: відмовлено в дозволі на читання, або файл не є базою даних, або файл являє собою зашифровану базу даних!"
91,string_database_error_permission_denied,Database: Permission denied for reading! Please check your password of db or the file occupation.,数据库：没有足够的权限读取，或数据库已被占用！,Databáze: Odepřeno oprávnění pro čtení! Zkontrolujte správnost svého hesla nebo přítomnost souboru.,Datenbank: Berechtigung zum Lesen verweigert! Bitte überprüfen Sie Ihr Passwort der Datei.,Base de données : autorisation de lecture refusée! Veuillez vérifier le mot de passe du fichier.,"Banco de dados: Permissão negada para leitura! Por favor, verifique sua senha de db ou o local do arquivo.",string_database_error_permission_denied,"База даних: відмовлено в дозволі на читання! Будь ласка, перевірте свій пароль від бази даних або файл."
92,string_database_error_rsa_private_key_format_error,Database: RSA private key is in an invalid format! Please select the correct key.,数据库：存储的 RSA 私钥文件格式错误，请重新选择！,Databáze: RSA soukromý klíč nemá platný formát! Vyberte správný klíč.,Datenbank: Der private RSA-Schlüssel hat ein falsches Format! Bitte wählen Sie einen korrekten Schlüssel aus.,Base de données : la clé privée RSA est au format d'erreur! Veuillez sélectionner une clé correcte.,"Banco de dados: A chave privada RSA está em um formato inválido! Por favor, selecione a chave correta.",string_database_error_rsa_private_key_format_error,"База даних: закритий ключ RSA знаходиться в неприпустимому форматі! Будь ласка, виберіть правильний ключ."
93,string_database_error_rsa_private_key_not_found,Database: Can't find the RSA private key! Please select the correct key.,数据库：无法找到数据库中存储的 RSA 私钥文件路径！,Databáze: Nedaří se nalézt RSA soukromý klíč! Vyberte správný klíč.,Datenbank: kann den privaten RSA-Schlüssel nicht finden! Bitte wählen Sie einen korrekten Schlüssel aus.,Base de données : impossible de trouver la clé privée RSA! Veuillez sélectionner une clé correcte.,"Banco de dados: Não é possível encontrar a chave privada RSA! Por favor, selecione a chave correta.",string_database_error_rsa_private_key_not_found,"База даних: неможливо знайти закритий ключ RSA! Будь ласка, виберіть правильний ключ."
94,string_database_error_rsa_private_key_not_match,Database: RSA private key does not match the public key! Please select the correct key.,数据库：存储的 RSA 私钥公钥不匹配，请重新选择！,Databáze: RSA soukromý klíč neodpovídá tomu veřejnému! Vyberte správný klíč.,Datenbank: der private RSA-schlüssel stimmt nicht mit dem öffentlichen Schlüssel überein! Bitte wählen Sie einen korrekten Schlüssel aus.,Base de données: la clé privée RSA ne correspond pas à la clé publique! Veuillez sélectionner une clé correcte.,"Banco de dados: A chave privada RSA não corresponde à chave pública! Por favor, selecione a chave correta.",string_database_error_rsa_private_key_not_match,"База даних: закритий ключ RSA не збігається з відкритим ключем! Будь ласка, виберіть правильний ключ."
95,Theme,Theme,主题,Vzhled,Thema,Thème,Tema,テーマ,Тема
96,Color,Color,颜色,Barva,Farbe,Couleur,Cor,色,Колір
97,Color1,Color1,主色,Barva1,Farbe1,Couleur1,Cor 1,色1,Колір1
98,Color2,Color2,副色,Barva2,Farbe2,Couleur2,Cor 2,色2,Колір2
99,Background,Background,背景色,Pozadí,Hintergrund,Arrière-plan,Fundo,バックグラウンド,Фон
100,Normal,Normal,常规,Normální,Normal,Normal,Normal,普通,Нормальний
101,Lighter,Lighter,亮色,Světlejší,Heller,Clair,Mouse em cima,ライター,Світлий 
102,Darker,Darker,暗色,Tmavší,Dunkler,Sombre,Fundo dos menus,より暗い,Темніший
103,Font,Font,字体,Písmo,Schriftart,Police de caractère,Cor da fonte,フォント,Шрифт
104,Font size,Font size,字体大小,Velikost písma,Schriftgröße,Taille de la police,Tamanho da fonte,フォントサイズ,Розмір шрифту
105,Themes,Themes,主题,Motivy vzhledu,Farbthema,Thèmes,Temas,テーマ,Темі
106,server_card_operate_duplicate,Duplicate,创建副本,Zduplikovat,Duplizieren,Dupliquer,Duplicado,server_card_operate_duplicate,Копія
107,server_card_operate_copy_address,Copy hostname to clipboard,复制地址到剪贴板,Zkopírovat název stroje do schránky,Server hostname in die Zwischenablage kopieren,Copier nom d'hôte dans le presse-papiers,Copie o nome do host para a área de transferência,server_card_operate_copy_address,Скопіювати hostname до буферу обміну
108,server_card_operate_copy_username,Copy username to clipboard,复制用户名到剪贴板,Zkopírovat uživatelské jméno do schránky,Benutzername in die Zwischenablage kopieren,Copier le nom d'utilisateur dans le presse-papiers,Copiar nome de usuário para a área de transferência,server_card_operate_copy_username,Скопіювати username до буферу обміну
109,server_card_operate_copy_password,Copy password to clipboard,复制密码到剪贴板,Zkopírovat heslo do schránky,Passwort in die Zwischenablage kopieren,Copier le mot de passe dans le presse-papiers,Copiar senha para a área de transferência,server_card_operate_copy_password,Скопіювати пароль в буфер обміну
110,confirm_to_delete,Are you sure you want to delete?,确认要删除吗？,Opravdu chcete smazat?,Wirklich löschen?,Valider la suppression ?,Tem certeza de que deseja excluir?,confirm_to_delete,"Ви впевнені, що хочете видалити?"
111,confirm_to_delete_selected,Are you sure you want to delete all selected?,确认要删除所选全部项目吗？,Opravdu chcete vše vybrané smazat?,Wirklich alle markierten Einträge löschen?,Valider la suppression de toutes les sélections ?,Tem certeza de que deseja excluir todos os selecionados?,confirm_to_delete_selected,"Ви впевнені, що хочете видалити всі вибрані?"
112,import_server_dialog_title,Select a file,选择导入文件,Vyberte soubor,Dateiauswahl,Sélectionner un fichier,Selecione um arquivo,import_server_dialog_title,Оберіть файл
113,import_from_json,from json,从 json,z json,von einer JSON-Datei,depuis json,de arquivo .json,import_from_json,з json
114,import_from_csv,from mRemoteNG csv,从 mRemoteNG csv,z mRemoteNG csv,mRemoteNG CSV-Datei,depuis CSV mRemoteNG,do mRemoteNG .csv,import_from_csv,з mremoteng csv
115,import_done_0_items_added,"Imported successfully, {0} item(s) added.",已导入{0}条记录.,"Úspěšně naimportováno, {0} položek přidáno.","Erfolgreich importiert, {0} Element hinzugefügt.","Importé avec succès, {0} élément(s) ajouté(s).","Importado com sucesso, {0} item(ns) adicionado(s).",import_done_0_items_added,"Успішно імпортовано, додано елемент {0}."
116,import_failure_with_data_format_error,Error data format!,导入0条，输入的数据文件格式有误!,Chyba ve formátu dat!,Falsches Datenformat!,Erreur dans le format des données !,Erro no formato dos dados!,import_failure_with_data_format_error,Формат даних про помилку!
117,server_editor_different_options,<different options>,<不同的值>,<různé předvolby>,server_editor_different_options,<Options différentes>,<opções diferentes>,server_editor_different_options,<різні варіанти>
118,server_editor_bulk_editing,Bulk editing,批量编辑,Hromadné upravování,server_editor_bulk_editing,Modification groupée,Edição em massa,server_editor_bulk_editing,Масове редагування
119,server_editor_bulk_editing_title,You are editing in bulk:,你正在批量编辑:,Hromadně upravujete:,server_editor_bulk_editing_title,Vous modifiez en masse :,Você está editando em massa:,server_editor_bulk_editing_title,Ви редагуєте масово:
120,server_editor_multi_selected_count,Number of selected items:,选中数量：,Počet vybraných položek:,server_editor_multi_s selected_count,Nombre d'éléments sélectionnés:,Número de itens selecionados:,server_editor_multi_selected_count,Кількість вибраних елементів:
121,server_editor_group_title_common,Common,常规,Společné,Allgemein,Commun,Frequente,server_editor_group_title_common,Загальний
122,Connection,Connection,连接,Připojení,Verbindung,Lien,Conexão,繋がり,Підключення від
123,server_editor_group_title_display,Display,显示,Zobrazení,Anzeige,Affichage,Tela,server_editor_group_title_display,Дисплей
124,server_editor_group_title_advantage,Advantage,高级,Výhoda,Erweitert,Avantage,Vantagem,server_editor_group_title_advantage,Перевага
125,server_editor_group_title_gateway,RD Gateway Server,RD 网关服务器,Server brány vzdálených ploch,Remotedesktop-Gatewayserver,Serveur de passerelle RD,Servidor Gateway RD,server_editor_group_title_gateway,Сервер шлюзу віддалених робочих столів
126,Tags,Tags,标签,Štítky,Etikett,Mots clés,Marcações,タグ,Тег
127,server_editor_tags_tag,"Can enter multiple, separated by ','","可以输入多个，用 ',' 分隔","Je možné zadat vícero, oddělovaných „,“ (čárkou)",server_editor_tags_tag,"Peut entrer plusieurs, séparés par ','","Podem ser inseridos vários, separados por ','",server_editor_tags_tag,"Можна ввести кілька, розділених ','"
128,Logo,Logo,图标,Logo,Logo,Logo,Logotipo,ロゴ,Логотип
129,Script before connect,Script before connect,会话连接前运行脚本,Skript před připojením,Skript vor dem Verbinden,Script avant connexion,Script antes de conectar,接続前のスクリプト,Сценарій перед підключенням
130,Hide script window,Hide script window(not recommended for script take long time),隐藏脚本运行窗口（长耗时脚本不推荐勾选）,Skrýt okno skriptu,Skriptfenster ausblenden,Masquer la fenêtre de script,Ocultar janela de script,スクリプト ウィンドウを非表示にする,"Приховати вікно скрипта (не рекомендується, якщо скрипт займає багато часу)"
131,Script after disconnected,Script after disconnected,会话关闭后运行脚本,Skript po odpojení,Skript nach dem Trennen,Script après déconnexion,Script depois de desconectado,切断後のスクリプト,Скрипт після відключення
132,Run bat before connect,Run bat before connect(e.g. run 'C:\OpenSshTunneling.bat'),连接前运行脚本（如:运行'C:\OpenSshTunneling.bat'）,Spusťte bat před připojením,"Führen Sie Fledermaus aus, bevor Sie eine Verbindung herstellen",Exécuter bat avant de se connecter,Execute o bat antes de conectar,接続する前にバットを実行する,"Запустіть bat перед підключенням (наприклад, запустіть 'C:\OpenSshTunneling.bat ')"
133,Run bat after disconnected,Run bat after disconnected(e.g. run 'C:\CloseSshTunneling.bat'),关闭会话后运行脚本（如:运行'C:\CloseSshTunneling.bat'）,Spustit bat po odpojení,"Führen Sie die Fledermaus aus, nachdem Sie die Verbindung getrennt haben",Exécutez la chauve-souris après la déconnexion,Executar bat depois de desconectado,切断後にバットを実行,"Запуск, але після відключення (наприклад, запуск 'C:\CloseSshTunneling.bat ')"
134,Hostname,Hostname,地址,Název stroje,Hostname,Nom d'hôte,Hospedeiro,ホスト名,Ім'я хоста
135,Target,Target,目标,Cíl,Ziel,Cibler,Alvo,目標,Ціль
136,Port,Port,端口,Port,Hafen,Port,Porta,ポート,Порт
137,User,User,用户名,Uživatel,Benutzer,Utilisateur,Usuário,ユーザー,Користувач
138,Password,Password,密码,Heslo,Passwort,Mot de passe,Senha,パスワード,Пароль
139,Use private key,Use private key,使用私钥连接,Použít soukromý klíč,Benutze privaten Schlüssel,utiliser la clé privée,Usar chave privada,秘密鍵を使用する,Використовувати закритий ключ
140,Private key,Private key,私钥,Soukromý klíč,Privater Schlüssel,Clé privée,Chave privada,秘密鍵,Закритий ключ
141,Open SFTP when connected,Open SFTP when connected,同时打开 SFTP,Při připojení otevřít SFTP,Öffnen Sie SFTP beim Anschluss,Ouvrir SFTP lorsqu'il est connecté,Abra o SFTP quando conectado,接続時に SFTP を開く,Відкрийте SFTP під час підключення
142,server_editor_display_full_screen_flag,Full screen remote desktop,全屏模式,Vzdálená plocha na celou obrazovku,Vollbild,Plein écran,Área de trabalho remota em tela cheia,server_editor_display_full_screen_flag,Повноекранний віддалений робочий стіл
143,server_editor_display_full_screen_flag_window,Disable,禁用,Vypnout,Deaktivieren,Désactiver,Desativar,server_editor_display_full_screen_flag_window,Відключати
