key,en-us,zh-cn,de-de,fr-fr,pt-br,ja-jp
system_options_quick_description,"Quick connect allows you to open up a quick connection bar via a hot key, then you can type the keyword and start connection by pressing the Enter key",快速连接允许用户在桌面任何位置，通过快捷键唤起快速连接搜索框，键入关键字筛选所要连接的服务器，并按下回车开启远程连接。,"Mit der Schnellverbindungsfunktion können Sie eine Schnellverbindungsleiste per Tastendruck aufrufen, dann können Sie das Schlüsselwort eingeben und die Verbindung durch drücken der Eingabetaste öffnen.","La connexion rapide vous permet de raccrocher une barre de connexion rapide par raccourci clavier, puis vous pouvez taper le mot-clé et démarrer la connexion en appuyant sur la touche Entrée","A conexão rápida permite que você abra uma barra de conexão rápida por meio de uma tecla de atalho, você pode digitar a palavra-chave e iniciar a conexão pressionando a tecla Enter",
system_options_quick_match_providers,Keyword-Matchers,关键词匹配器,,Mots clés correspondants,Correspondentes de palavras-chave,
Launcher,Launcher,启动器,Startprogramm,Lanceur,Atalhos,
system_options_quick_launcher_enable,Enable the launcher,启用,Aktiv,Activer,Ative os atalhos,
system_options_quick_launcher_hotkey,Hot key,快捷键,Hotkey,Raccourci clavier,Tecla de atalho,
system_options_data_security_title,Data & Security,数据与安全,Datenbank & Sicherheit,Sécurité des données,Dados & Segurança,
system_options_data_security_database,Database,数据库,Datenbank,Base de données,Base de dados,
system_options_data_security_database_migrate,Migrate,移动,Migrieren,Migrer,Migrar,
system_options_data_security_rsa_title,RSA encryption,RSA加密,RSA Verschlüsselung,Cryptage RSA,Criptografia RSA,
system_options_data_security_rsa_encrypt,Encrypt,生成加密,Verschlüsseln,Crypter,Criptografar,
system_options_data_security_rsa_encrypt_dialog_title,Load an old key or select a path to save your current key,选择现有私钥或设置新私钥放置位置,"Laden Sie einen alten RSA-Schlüssel oder wählen Sie den Pfad, um den RSA-Schlüssel zu öffnen.",Chargez une ancienne clé ou sélectionnez un chemin pour votre clé,Carregue uma chave antiga ou selecione um caminho para salvar sua chave atual,
system_options_data_security_rsa_decrypt,Decrypt,清除加密,Entschlüsseln,Décrypter,Descriptografar,
system_options_data_security_rsa_public_key,Public key,公钥,Öffentlicher Schlüssel,Clé publique,Chave pública,
system_options_data_security_rsa_private_key_path,Private key path,私钥,Pfad zum privaten Schlüssel,Chemin de la clé privée,Caminho da chave privada,
system_options_data_security_export_dialog_title,Caution: Your data will be saved unencrypted!,导出数据将以明文显示，请妥善保管！,Achtung: Ihre Daten werden unverschlüsselt gespeichert,Mise en garde : vos données seront enregistrées non cryptées !,Atenção: Seus dados serão salvos sem criptografia!,
system_options_data_security_info_data_processing,Processing data. Do not close the app!,数据处理中，请勿关闭程序。,"Datenverarbeitung, Programm bitte nicht schließen.","Traitement des données, ne fermez pas l'application.",Processando dados. Não feche o aplicativo!,
system_options_data_security_info_encrypt_private_key_warning,Protect your private key carefully! It's the only key that can decrypt your data!,请妥善保管私钥，丢失后数据将无法找回！,"Bewahren Sie Ihren privaten Schlüssel sorgfältig auf, er ist der einzige Weg um Ihre Daten zu entschlüsseln!","Protégez soigneusement votre clé privée, c'est la seule clé pour décrypter vos données !",Proteja sua chave privada com cuidado! É a única chave que pode descriptografar seus dados!,
system_options_data_security_info_clear_rsa,Would you like to clear RSA encryption?,是否清除RSA加密?,Möchten Sie die RSA-Verschlüsselung aufheben?,Souhaitez-vous effacer le cryptage RSA ?,Deseja limpar a criptografia RSA?,
system_options_data_security_error_can_not_open,Database: Permission denied for reading or the file is not a database or the file is an encrypted database!,数据库：所选文件已被占用或不是数据库或该数据库已被加密！,Datei ist keine Datenbank oder Datei ist eine verschlüsselte Datenbank!,Base de données : autorisation de lecture refusée ou le fichier n'est pas une base de données ou le fichier est une base de données cryptée !,Banco de dados: Permissão negada para leitura. Ou o arquivo não é um banco de dados ou o arquivo é um banco de dados criptografado!,
string_database_error_permission_denied,Database: Permission denied for reading! Please check your password of db or the file occupation.,数据库：没有足够的权限读取，或数据库已被占用！,Datenbank: Berechtigung zum Lesen verweigert! Bitte überprüfen Sie Ihr Passwort der Datei.,Base de données : autorisation de lecture refusée! Veuillez vérifier le mot de passe du fichier.,"Banco de dados: Permissão negada para leitura! Por favor, verifique sua senha de db ou o local do arquivo.",
string_database_error_rsa_private_key_format_error,Database: RSA private key is in an invalid format! Please select the correct key.,数据库：存储的 RSA 私钥文件格式错误，请重新选择！,Datenbank: Der private RSA-Schlüssel hat ein falsches Format! Bitte wählen Sie einen korrekten Schlüssel aus.,Base de données : la clé privée RSA est au format d'erreur! Veuillez sélectionner une clé correcte.,"Banco de dados: A chave privada RSA está em um formato inválido! Por favor, selecione a chave correta.",
string_database_error_rsa_private_key_not_found,Database: Can't find the RSA private key! Please select the correct key.,数据库：无法找到数据库中存储的 RSA 私钥文件路径！,Datenbank: kann den privaten RSA-Schlüssel nicht finden! Bitte wählen Sie einen korrekten Schlüssel aus.,Base de données : impossible de trouver la clé privée RSA! Veuillez sélectionner une clé correcte.,"Banco de dados: Não é possível encontrar a chave privada RSA! Por favor, selecione a chave correta.",
string_database_error_rsa_private_key_not_match,Database: RSA private key does not match the public key! Please select the correct key.,数据库：存储的 RSA 私钥公钥不匹配，请重新选择！,Datenbank: der private RSA-schlüssel stimmt nicht mit dem öffentlichen Schlüssel überein! Bitte wählen Sie einen korrekten Schlüssel aus.,Base de données: la clé privée RSA ne correspond pas à la clé publique! Veuillez sélectionner une clé correcte.,"Banco de dados: A chave privada RSA não corresponde à chave pública! Por favor, selecione a chave correta.",
Theme,Theme,主题,Thema,Thème,Tema,
Color,Color,颜色,Farbe,Couleur,Cor,
Color1,Color1,主色,Farbe1,Couleur1,Cor 1,
Color2,Color2,副色,Farbe2,Couleur2,Cor 2,
Background,Background,背景色,Hintergrund,Arrière-plan,Fundo,
Normal,Normal,常规,,,,
Lighter,Lighter,亮色,Heller,Clair,Mouse em cima,
Darker,Darker,暗色,Dunkler,Sombre,Fundo dos menus,
Font,Font,字体,Schriftart,Police de caractère,Cor da fonte,
Font size,Font size,字体大小,Schriftgröße,Taille de la police,Tamanho da fonte,
Themes,Themes,主题,Farbthema,Thèmes,Temas,
server_card_operate_duplicate,Duplicate,创建副本,Duplizieren,Dupliquer,Duplicado,
server_card_operate_copy_address,Copy hostname to clipboard,复制地址到剪贴板,Server hostname in die Zwischenablage kopieren,Copier nom d'hôte dans le presse-papiers,Copie o nome do host para a área de transferência,
server_card_operate_copy_username,Copy username to clipboard,复制用户名到剪贴板,Benutzername in die Zwischenablage kopieren,Copier le nom d'utilisateur dans le presse-papiers,Copiar nome de usuário para a área de transferência,
server_card_operate_copy_password,Copy password to clipboard,复制密码到剪贴板,Passwort in die Zwischenablage kopieren,Copier le mot de passe dans le presse-papiers,Copiar senha para a área de transferência,
confirm_to_delete,Are you sure you want to delete?,确认要删除吗？,Wirklich löschen?,Valider la suppression ?,Tem certeza de que deseja excluir?,
confirm_to_delete_selected,Are you sure you want to delete all selected?,确认要删除所选全部项目吗？,Wirklich alle markierten Einträge löschen?,Valider la suppression de toutes les sélections ?,Tem certeza de que deseja excluir todos os selecionados?,
import_server_dialog_title,Select a file,选择导入文件,Dateiauswahl,Sélectionner un fichier,Selecione um arquivo,
import_from_json,from json,从 json,von einer JSON-Datei,depuis json,de arquivo .json,
import_from_csv,from mRemoteNG csv,从 mRemoteNG csv,mRemoteNG CSV-Datei,depuis CSV mRemoteNG,do mRemoteNG .csv,
import_done_0_items_added,"Imported successfully, {0} item(s) added.",已导入{0}条记录.,"Erfolgreich importiert, {0} Element hinzugefügt.","Importé avec succès, {0} élément(s) ajouté(s).","Importado com sucesso, {0} item(ns) adicionado(s).",
import_failure_with_data_format_error,Error data format!,导入0条，输入的数据文件格式有误!,Falsches Datenformat!,Erreur dans le format des données !,Erro no formato dos dados!,
server_editor_different_options,<different options>,<不同的值>,,<Options différentes>,<opções diferentes>,
server_editor_bulk_editing,Bulk editing,批量编辑,,Modification groupée,Edição em massa,
server_editor_bulk_editing_title,You are editing in bulk:,你正在批量编辑:,,Vous modifiez en masse :,Você está editando em massa:,
server_editor_multi_selected_count,Number of selected items:,选中数量：,,Nombre d'éléments sélectionnés:,Número de itens selecionados:,
server_editor_group_title_common,Common,常规,Allgemein,Commun,Frequente,
Connection,Connection,连接,Verbindung,,Conexão,
server_editor_group_title_display,Display,显示,Anzeige,Affichage,Tela,
server_editor_group_title_advantage,Advantage,高级,Erweitert,Avantage,Vantagem,
server_editor_group_title_gateway,RD Gateway Server,RD 网关服务器,Remotedesktop-Gatewayserver,Serveur de passerelle RD,Servidor Gateway RD,
Tags,Tags,标签,Etikett,,Marcações,
server_editor_tags_tag,"Can enter multiple, separated by ','","可以输入多个，用 ',' 分隔",,"Peut entrer plusieurs, séparés par ','","Podem ser inseridos vários, separados por ','",
Logo,Logo,图标,,,Logotipo,
server_editor_cmd_before_connected,Before cmd,连接前cmd,App vorher starten,Avant la connexion cmd,Antes do cmd,
server_editor_cmd_before_connected_tag,Run before connecting by cmd.exe (e.g. 'C:\openVpn.bat' will run 'cmd.exe C:\openVpn.bat'),启动会话前用cmd运行脚本(如：'C:\\openVpn.bat' 将执行 'cmd.exe C:\\openVpn.bat'),Vor Verbinden durch cmd.exe ausführen (z. B. 'C:\\openVpn.bat' führt 'cmd.exe C:\\openVpn.bat' aus),"Exécuter avant de se connecter via cmd.exe (exemple : 'C:\\openVpn.bat', exécuter 'cmd.exe C:\\openVpn.bat')",Execute antes de conectar por cmd.exe (ex.: 'C:\openVpn.bat' will executará 'cmd.exe C:\openVpn.bat'),
server_editor_cmd_after_disconnected,After cmd,断开后cmd,App nachher starten,Après le lancement de cmd,Após cmd,
server_editor_cmd_after_disconnected_tag,Run after disconnecting by cmd.exe (e.g. 'C:\closeVpn.bat' will run 'cmd.exe C:\closeVpn.bat'),关闭会话后用cmd运行脚本(如：'C:\\closeVpn.bat' 将运行 'cmd.exe C:\\closeVpn.bat'),Nach Beendigung durch cmd.exe ausführen (z. B. 'C:\\closeVpn.bat' wird 'cmd.exe C:\\closeVpn.bat' ausführen),"Exécuté après avoir été déconnecté par cmd.exe (exemple : 'C:\\closeVpn.bat', exécuter 'cmd.exe C:\\closeVpn.bat')",Executar após desconectar por cmd.exe (ex.: 'C:\closeVpn.bat' will executará 'cmd.exe C:\closeVpn.bat'),
Hostname,Hostname,地址,,,Hospedeiro,
Target,Target,目标,,Cibler,,
Port,Port,端口,,,Porta,
User,User,用户名,Benutzer,Utilisateur,Usuário,
Password,Password,密码,Passwort,Mot de passe,Senha,
Use private key,Use private key,使用私钥连接,Benutze privaten Schlüssel,utiliser la clé privée,Usar chave privada,
Private key,Private key,私钥,Privater Schlüssel,Clé privée,Chave privada,
Open SFTP when connected,Open SFTP when connected,同时打开 SFTP,Öffnen Sie SFTP beim Anschluss,Ouvrir SFTP lorsqu'il est connecté,Abra o SFTP quando conectado,
server_editor_display_full_screen_flag,Full screen remote desktop,全屏模式,Vollbild,Plein écran,Área de trabalho remota em tela cheia,
server_editor_display_full_screen_flag_window,Disable,禁用,Deaktivieren,Désactiver,Desativar,
server_editor_display_full_screen_flag_full_screen,Enable (single monitor),允许（单显示器）,Aktivieren (Einzel-Monitor),Activer (moniteur unique),Ativar (monitor único),
server_editor_display_full_screen_flag_all_screens,Enable (multi monitors),允许（所有显示器）,Aktivieren (alle Monitore),Activer (multi-moniteurs),Ativar (vários monitores),
Display the connection bar when use the full screen,Display the connection bar when use the full screen,全屏时显示连接栏,"Zeigen Sie die Anschlussleiste an, wenn Sie den vollständigen Bildschirm verwenden",Afficher la barre de connexion lors de l'utilisation de l'écran complet,Exibir a barra de conexão ao usar a tela cheia,
New session always use full screen,New session always use full screen,启动会话时永远进入全屏模式,Neue Sitzung Verwenden Sie immer den vollständigen Bildschirm,Connectez-vous en plein écran,Nova sessão sempre usará tela cheia,
New session use full screen if the last session is full screen,New session use full screen if the last session is full screen,启动会话时根据上次会话决定是否进入全屏模式,"Neue Sitzung Vollbild Verwenden Sie den Vollbild, wenn die letzte Sitzung Vollbild ist",Nouvelle session Utilisez plein écran si la dernière session est en plein écran,Nova sessão usará tela cheia se a última sessão foi em tela cheia,
Resolution,Resolution,分辨率,Auflösung,Résolution,Resolução,
Fit to window,Fit to window(Supported server: Windows Server 2012 R2 and above),适应窗口大小(服务器要求Windows Server 2012 R2及以上),An Fenster anpassen(Unterstützter Server: Windows Server 2012 R2 und höher),Apte à la fenêtre(Serveur pris en charge: Windows Server 2012 R2 et supérieur),Ajustar à janela (Servidor Compatível com Windows Server 2012 R2 e superior),
Custom resolution (stretch),Custom resolution (stretch),自定义分辨率 (拉伸),Benutzerdefinierte Auflösung (Stretch),Résolution personnalisée (étirement),Resolução personalizada (esticar),
Custom resolution (fixed),Custom resolution (fixed),自定义分辨率 (固定),Benutzerdefinierte Auflösung (fixiert),Résolution personnalisée (fixe),Resolução personalizada (fixa),
Full-screen resolution (stretch),Full-screen resolution (stretch),屏幕分辨率 (拉伸),Vollbildauflösung (stretch),Résolution en plein écran (étirement),Resolução de tela cheia (esticar),
Full-screen resolution (fixed),Full-screen resolution (fixed),屏幕分辨率 (固定),Vollbildauflösung (fixiert),Résolution en plein écran (fixe),Resolução de tela cheia (fixa),
server_editor_display_rdp_performance,Performance,桌面体验,Leistung,,,
server_editor_display_rdp_performance_auto,Auto (judged based on connection speed),自动（根据网速）,Verbindungsqualität automatisch erkennen,Jugement automatique (par vitesse de connexion),Automático (com base na velocidade da conexão),
server_editor_display_rdp_performance_high,High (32bit color with full feature support),高（32位色彩与所有特性）,Hoch (32bit Farbe mit voller Funktionsunterstützung),Élevé (couleur 32 bits avec prise en charge complète des fonctionnalités),Alta (cor de 32 bits com suporte completo a recursos),
server_editor_display_rdp_performance_middle,Middle (16bit color with only font smoothing and desktop composition),中（16位色彩与字体平滑、桌面合成）,Mittel (16bit Farbe mit nur Schriftglättung und Desktopaufbau),Milieu (couleur 16 bits avec uniquement le lissage de la police et la composition du bureau),Médio (cor de 16 bits com apenas suavização de fonte e composição da área de trabalho),
server_editor_display_rdp_performance_low,Low (8bit color with no feature support),低（8位色彩无任何显示增强）,Niedrig (8-Bit-Farbe ohne Unterstützung von Funktionen),Faible (couleur 8 bits sans prise en charge des fonctionnalités),Baixo (cor de 8 bits sem suporte a recursos),
server_editor_advantage_admin,For administering a server,连接到会话以管理服务器,,,Para administrar um servidor,
server_editor_advantage_resources,Resources,共享到远程桌面,Ressourcen,Ressources,Recursos,
server_editor_advantage_clipboard,Clipboard,剪贴板,Zwischenablage,Presse-papiers,Área de transferência,
server_editor_advantage_key_combinations,Key Combinations,组合键,Tastenkombinationen,Combinaisons de clés,Combinações de teclas,
server_editor_advantage_disk_drives,Disk Drives,本地磁盘,Laufwerke,Disques durs,Unidades de disco,
server_editor_advantage_sounds,Sounds,声音,Ton,Sons,Sons,
server_editor_advantage_sounds_disabled,Disabled,禁用,,Désactivée,Desabilitado,
server_editor_advantage_sounds_on_local,Play on local,在本地播放,,Jouez en local,Rode localmente,
server_editor_advantage_sounds_on_remote,Play on remote,在远程播放,,Jouer à distance,Rode remotamente,
server_editor_advantage_audio_capture,Audio Capture,录音,Audio Aufnahme,Capture audio,Captura de áudio,
server_editor_advantage_ports,Ports,端口,,,Portas,
server_editor_advantage_printers,Printers,打印机,Drucker,Imprimantes,Impressoras,
server_editor_advantage_smart_cards,Smart Cards,智能卡,Smartcards,Carte à puce,Cartões inteligentes,
server_editor_advantage_ssh_version,SSH Version,SSH Version,,Version SSH,Versão SSH,
server_editor_advantage_ssh_startup_auto_command,Auto command,自动命令,Auto-Befehl,Commande automatique,Comando automático,
server_editor_advantage_ssh_startup_auto_kitty_session_tip,Use external configuration by selecting a session file path for KiTTY,输入 KiTTY Portable.exe 的 Session 配置路径可支持更多额外配置,support external config by select a session file path of KiTTY,prendre en charge la configuration externe en sélectionnant un chemin de fichier de session de KiTTY,Use a configuração externa selecionando um caminho de arquivo de sessão para o KiTTY,
server_editor_advantage_sftp_startup_path,Startup path,启动位置,Start-Pfad,Chemin de démarrage,Caminho de inicialização,
server_editor_gateway_mode,Connection,连接设置,Verbindung,,Conexão,
server_editor_gateway_mode_automatically_detect,Automatically detect RD Gateway Server settings,自动检测RD网关服务器设置,RD-Gatewayservereinstellungen automatisch ermitteln,Détecter automatiquement les paramètres du serveur RD Gateway,Detectar automaticamente as configurações do Servidor RD Gateway,
server_editor_gateway_mode_use_these,Use the following RD Gateway Server settings,使用下列RD网关服务器设置,Diese Einstellungen für RD-Gatewayserver verwenden,Utilisez les paramètres de serveur de passerelle Bureau à distance suivants,Use as seguintes configurações do Servidor RD Gateway,
server_editor_gateway_mode_do_not_use,Do not use RD Gateway Server,不使用RD网关服务器,Keinen Remotedesktop-Gatewayserver verwenden,Ne pas utiliser de serveur de passerelle pour le Bureau à distance,Não use o Servidor RD Gateway,
server_editor_gateway_server_host_name,Host Name,服务器地址,Servername,Nom d'hôte,Nome do Host,
server_editor_gateway_logon_method,Logon Method,登录方法,Anmeldemethode,Méthode de connexion,Tipo de logon,
server_editor_gateway_logon_method_psw,Password,账号密码,Kennwort anfordern,Mot de passe,Senha,
server_editor_gateway_logon_method_smart_card,Smart Card,智能卡,Smartcard,Carte à puce,Cartão inteligente,
server_editor_gateway_bypass_gateway_for_local_address,Bypass RD Gateway Server for local address,不对本地地址使用RD网关,Remotedesktop-Gatewayserver für lokale Adressen umgehen,Contourner le serveur de passerelle RD pour l'adresse locale,Ignorar o servidor de RD Gateway para endereço local,
server_editor_remote_app_name,App Name,程序名称,Programm Name,Nom de l'application,Nome do APP,
server_editor_remote_app_name_tag,Name of the app (e.g. hello),程序名称的名称（如 hello.exe）,Name des Programms (bspw. Hallo),nom de l'application (par exemple bonjour),Nome do aplicativo (ex.: kernel),
server_editor_remote_app_fullname,App Path,服务端路径,Pfad zum Programm,Chemin de l'application,Caminho do APP,
server_editor_remote_app_fullname_tag,Full exe path on the server (e.g. C:\Apps\hello.exe),被远程程序在服务器上的路径（如 ' C:\\Apps\\hello.exe'）,vollständiger Programm-Pfad auf dem Server (z. B. C:\\Apps\\hallo.exe),Chemin complet de l'éxecutable sur le serveur (par exemple C:\\Apps\\hello.exe),Caminho completo do .exe no servidor (ex.: C:\Apps\kernel.exe),
about_page_how_to_use,How to use,帮助,Handbuch im Github Wiki,Comment utiliser,Como usar,
about_page_feedback,Feedback,提意见/需求,,Retour,Dê seu feedback,
guidance_introduce,PRemoteM allows you to open a remote session at any time and anywhere.,PRemoteM 为您管理远程会话，帮您通过启动器快速打开远程桌面,Mit PRemoteM können Sie jederzeit und überall eine Remote-Sitzung eröffnen.,PRemoteM vous permet d'ouvrir une session à distance à tout moment et de n'importe où.,O PRemoteM permite que você abra uma sessão remota a qualquer hora e em qualquer lugar.,
guidance_feature_launcher_key,call the launcher by,快速呼出启动器,Rufen Sie den Launcher auf mit,Appeler le lanceur par,chame os atalhos por,
guidance_feature_launcher_select,select item by,选择项目,Server auswählen mit,Sélectionner l'élément par,selecionar item por,
guidance_feature_launcher_connect,connect by,启动会话,verbinden mit,Se connecter par,conectar por,
guidance_feature_launcher_menu,menu by,弹出菜单,Menüaufruf mit,Menu par,menu por,
guidance_feature_tab_demo,"Dragable, tearable, dockable remote session for RDP, SSH, VNC, sFTP...","可分离可合并的 RDP, SSH, VNC, sFTP 远程窗体","Verschiebbare, zerteilbare, andockbare Remote-Sitzung für RDP, SSH, VNC, sFTP...","Session distante Fixable, Découpable et Ancrable pour RDP, SSH, VNC, sFTP ...","Janelas arrastáveis. Sessão remota feita com: RDP, SSH, VNC, sFTP...",
guidance_feature_start_setting1,Please confirm some settings before first use.,开始使用前请确认一些配置,Bitte bestätigen Sie einige Einstellungen vor der Benutzung.,Veuillez confirmer certains paramètres avant de commencer.,Confirme algumas configurações antes do primeiro uso.,
guidance_feature_start_setting2,You are able to change this setting later in Options.,这些配置稍后同样可以在设置界面中修改,Sie können diese Einstellung später in den Optionen ändern.,Vous pouvez modifier ce paramètre ultérieurement dans la page Options.,Você pode alterar essa configuração posteriormente em Opções.,
word_oops,Oops...,哎哟喂...,Upps...,,OOPAA...,
error_report_unexpected_error_occurred,Unexpected error occurred. Error info is shown below:,程序发生了一些未知错误，详细信息如下：,Unerwarteter Fehler ist aufgetreten. Die Fehlerinformation wird unten angezeigt:,Une erreur inattendue s'est produite. Les informations sur l'erreur sont affichées ci-dessous :,Ocorreu um erro inesperado. As informações do erro são mostradas abaixo:,
error_report_to_clipboard,Copy to clipboard,保存到剪贴板,In die Zwischenablage kopieren,Copier dans le presse-papier,Copiar para área de transferência,
