key;gl-es
guidance_feature_tab_demo;Sesións remotas arrastrables, rasgables e acoplable para RDP, SSH, VNC, sFTP…
guidance_feature_start_setting1;Por favor, confirma algunhas configuracións antes do primeiro uso.
guidance_feature_start_setting2;Podes cambiar isto despois en Opcións
Portable mode;Modo portable
Profile is saved where executable is located;O perfil é gravado xunto co executable
Install for current windows account;Instalar para a conta de Windows actual
Profile is saved in your Windows AppData folder;O perfil é gravado no teu cartafol de Windows AppData
word_oops;Ups…
error_report_unexpected_error_occurred;Ocorreu un erro inesperado. Móstrase máis información abaixo
error_report_to_clipboard;Copiar ao portapapeis
error_report_please_help_us_improve;Por favor, axúdanos a mellorar 1Remote informando deste erro
error_report_how_help_us_improve;Simplemente copia a mensaxe do error e excolle unha forma para informar.
error_report_send_by_email;Enviar por e-enderezo
error_report_send_by_github;Enviar por GitHub
logo_selector_open_file_dialog_title;escoller unha imaxe
Default;Por defecto
Exe path;Ruta Exe
Cmd parameter;Parámetro CMD
New runner name;Nome do novo executable
Can not be empty!;Non pode estar baleiro!
Hosting;Hospedaxe
Hosting this exe in 1Remote tab view?;¿Hospeda este exe na pestana 1Remote View?
Caution: some exe can not be hosted in 1Remote.;Precaución: algúns exe non poden ser aloxados por 1Remote, proba por ti mesmo.
Show environment variables;Mostrar variables do entorno
Add environment variables;Engadir variables de entorno
write permissions alert;"Non temos permisos de escritura para o cartafol '{0}' ! Por favor, intenta:
1.executar coma administrador
2. cambiar os permisos do cartafol ou do arquivo"
Follow system;Seguir sistema (servidor soportado: Windows Server 2012 R2 e superior)
tag_tooltips;Clic esquerdo : pon esta etiqueta coma filtro{0}Ctrl + Clic esquerdo : engadir esta etiqueta a lista incluída {0}Alt + Clic esquerdo :  engadir esta etiqueta a lista de excluídos
Are you sure you want to close the connection?;Estás seguro de que queres pechar a conexión?
Hi there,;Olá,
I hope that you find this app useful. If you would like to support my work, you can buy me a coffee or give a nice review. Thanks!;Espero que atopes útil esta aplicación. Se queres apoiar o meu traballo, podes invitarme a un café ou deixarme unha boa reseña. Grazas!
Give suggestions;Dar suxerencias
Buy a coffee;Invitar a un café
Give nice review;Deixar unha boa reseña
Do not show this again in current version;Non mostrar isto de novo na versión actual
User profile;Perfil de usuario
Selected runner;Executable elexido
Login with password;Iniciar sesión con chave de paso
Login with ssh private key;Iniciar sesión con chave privada ssh
Supports the Putty-key only;Só soporta a chave de Putty
Supports the OpenSSH format key only with the internal SFTP client.;Soporta o formato da chave de OpenSSH só co cliente SFTP interno
Supports the OpenSSH format key and Putty-key with WinSCP.;Soporta o formato da chave de OpenSSH e da chave de Putty con WinSCP
Environment variables;Variables do entorno
Before runner start the environment variables will be set;Antes do inicio do corredor estableceranse as variables de entorno
Data Source name;Nome da fonte de datos
Please select a Data Source;Seleccione unha fonte de datos
Test connection;Proba a conexión
Show XXX button;Mostrar botón '{0}'
Show recently used here;Mostrar aquí os usados recentemente
Hide recently used;Agochar os usados recentemente
Leave blank to inherit the default value;Deixa en branco para herdar o valor predeterminado
Alternative;Alternativa
with alternative;con alternativa
Automatic address switching;Cambio automático de enderezos
Availability detection;Detección de dispoñibilidade
Check if address is available before connect;Comproba se o enderezo está dispoñible antes de conectar
When the default host or port is unavailable the alternate addresses will be tried in sequence;Cando o host ou o porto predeterminado non estea dispoñible, probaranse os enderezos alternativos en secuencia
support multi-address multi-account;admite varias contas de enderezos múltiples
We are not able to connect to xxx;Non podemos conectarnos a `{0}`!
XXX is already existed!;`{0}` xa existe!
XXX is not existed!;`{0}` non existe!
Show credentials info;Mostrar información de credenciais
Sorting;Ordenación
Sort by drag;Ordenar por arrastre
We can not connect database:;Non podemos conectar a base de datos:
We can not create tables on database:;Non podemos crear táboas na base de datos:
We can not insert into database:;Non podemos inserir na base de datos:
We can not update on database:;Non podemos actualizar a base de datos:
We can not read from database:;Non podemos ler desde a base de datos:
We can not select from database:;Non podemos seleccionar da base de datos:
We can not delete from database:;Non podemos eliminar da base de datos:
because:;porque:
Pause;Pausa
Updating;Actualizando
Reconnecting;Reconectando
Next update check;Próxima revisión de actualización
Next auto reconnect;Próxima conexión automática
Pin;Pin
Unpin;praia de nubes
This is your list of tags. Right click for a context menu to pin them on header.;Esta é a túa lista de etiquetas. Fai clic co botón dereito no menú contextual para fixalos na cabeceira.
Create desktop shortcut;Crear atallo no escritorio
Success;Éxito
Failed;Fallou
Please complete the windows credentials verification;Completa a verificación das credenciais de Windows
Enter your credentials;Introduza as súas credenciais
Before proceeding with sensitive operations, we need to make sure it is you.;Antes de continuar coas operacións sensibles, debemos asegurarnos de que es ti.
Verification failed. Please try again.;Produciuse un erro na verificación. Por favor intentao de novo.
Security;Seguridade
Windows credentials verification is required to view passwords;É necesaria a verificación das credenciais de Windows para ver os contrasinais
Not existed;Not existed
Not a number;Non un número
Optional;Opcional
Nullable;Anulábel
Selections;Seleccións
Const value;Valor constante
Description;Descrición
Prefix;Prefixo
append blank after prefix;engadir un espazo en branco despois do prefixo
append blank after value;engadir un espazo en branco despois do valor
Do you want to replace the current parameter list with preset value?;Quere substituír a lista de parámetros actual co valor predefinido?
One option per line;Unha opción por liña
Use vertical lines to separate descriptions;Usa liñas verticais para separar as descricións (valor|descrición)
Automatically focus on the content when selecting a tab;Concéntrase automaticamente no contido ao seleccionar unha pestana
Copy the port along with the address when copying;Copia o porto xunto co enderezo ao copiar
Place the close button on the left side to prevent accidental touches;Coloque o botón de peche no lado esquerdo para evitar toques accidentais
Ask for password when open connect;Solicitar o contrasinal ao abrir a conexión
Remember the information above;Lembra a información anterior
Quick Connect;Conexión rápida
Allow Quick Connect to save entered address information;Permitir que a conexión rápida garde a información de enderezo introducida
Yes;Yes
No;No
Click on the icon above to change it to your own image;Fai clic na icona de arriba para cambiala á túa propia imaxe
Always open in new window;Abrir sempre nunha ventá nova
Set focus to local desktop when the mouse is moved out of RDP desktop;Establece o foco no escritorio local cando se move o rato fóra do escritorio RDP
Close button behavior;Pechar o comportamento do botón
Minimize to system tray;Minimizar a bandexa do sistema
Credentials;Credenciais
Credentials Vault;Vault de credenciais
Select credentials within the same database;Seleccione credenciais dentro da mesma base de datos
Reset main window location;Restablecer la ubicación de la ventana principal
New server;Nuevo servidor
Delete folder XXXX and move its contents to parent folder;
ListViewMode;View
ListViewMode_List;List
ListViewMode_Card;Card
ListViewMode_Tree;Tree
Do not check for new version;
