key;zh-tw
server_editor_bulk_editing_title;您正在批次編輯：
server_editor_multi_selected_count;已選取數量：
server_editor_group_title_common;一般
Connection Info;連線
Connection Settings;連線
server_editor_group_title_display;顯示
server_editor_group_title_advantage;進階
server_editor_group_title_gateway;RD 閘道伺服器
server_editor_tags_tag;可以輸入多個，以 ',' 分隔
Script before connect;連線前執行脚本
Hide script window;隱藏批次檔執行視窗 (不建議需要較長時間執行的脚本)
Script after disconnected;連線結束後執行脚本
Run bat before connect;連線前執行脚本 (例如：執行 'C:\OpenSshTunneling.bat')
Run bat after disconnected;連線結束后运行脚本（如:运行'C:\CloseSshTunneling.bat'）
Use private key;使用私密金鑰連線
Private key;私密金鑰
Open SFTP when connected;同時連線 SFTP
Open SFTP;打開SFTP
server_editor_display_full_screen_flag;全螢幕
server_editor_display_full_screen_flag_window;停用
server_editor_display_full_screen_flag_full_screen;啟用 (單一顯示器)
server_editor_display_full_screen_flag_all_screens;啟用 (全部顯示器)
Display the connection bar when use the full screen;全螢幕時顯示連線列
Pin the connection bar by default;默認固定連接欄
New session always use full screen;連線工作階段後一律以全螢幕顯示
New session use full screen if the last session is full screen;連線工作階段後依照上一次連線時的顯示決定
Resolution;解析度
Fit to window;與客戶端視窗大小相同 (需要Windows Server 2012 R2及以上的伺服器)
Custom resolution (stretch);自訂解析度 (延展)
Custom resolution (fixed);自訂解析度 (固定大小)
Full-screen resolution (stretch);全螢幕解析度 (延展)
Full-screen resolution (fixed);全螢幕解析度 (固定大小)
Scale;縮放
server_editor_display_rdp_performance;效能
server_editor_display_rdp_performance_auto;根據網路品質自動調整
server_editor_display_rdp_performance_high;高 (32 位元色彩且包含所有增強效果)
server_editor_display_rdp_performance_middle;中 (16 位元色彩，開啟字型反鋸齒與桌面合成)
server_editor_display_rdp_performance_low;低 (8 位元色彩，沒有其他增強效果)
server_editor_advantage_admin;連線到工作階段以便管理伺服器
server_editor_advantage_resources;與遠端伺服器分享資源
server_editor_advantage_clipboard;剪貼簿
server_editor_advantage_key_combinations;按鍵組合
server_editor_advantage_disk_drives;本機磁碟
Drives plug in later;稍後連接的磁碟機
server_editor_advantage_sounds;音效
server_editor_advantage_sounds_disabled;停用
server_editor_advantage_sounds_on_local;在本機播放
server_editor_advantage_sounds_on_remote;在遠端播放
server_editor_advantage_sound_quality;音質
server_editor_advantage_sound_quality_dynamic;動態的
server_editor_advantage_sound_quality_medium;中等的
server_editor_advantage_sound_quality_high;高的
server_editor_advantage_audio_capture;音效擷取
server_editor_advantage_ports;連接埠
server_editor_advantage_printers;印表機
server_editor_advantage_smart_cards;智慧卡
server_editor_advantage_ssh_version;SSH 版本
server_editor_advantage_ssh_startup_auto_command;自動執行命令
server_editor_advantage_ssh_startup_auto_kitty_session_tip;輸入 KiTTY Portable.exe 的 工作階段設定檔路徑，可支援更多額外的設定
server_editor_advantage_sftp_startup_path;開始位置
server_editor_gateway_mode;連線設定
server_editor_gateway_mode_automatically_detect;自動偵測 RD 閘道伺服器設定
server_editor_gateway_mode_use_these;使用下列 RD 閘道伺服器設定
server_editor_gateway_mode_do_not_use;不使用 RD 閘道伺服器
server_editor_gateway_server_host_name;伺服器位址
server_editor_gateway_logon_method;登入方式
server_editor_gateway_logon_method_psw;密碼
server_editor_gateway_logon_method_smart_card;智慧卡
server_editor_gateway_bypass_gateway_for_local_address;區域網路中的位址不使用 RD 閘道器
How to select the specified monitors;如何選擇指定的顯示器
mstsc.exe mode;mstsc.exe 模式
In this mode RDP will start the session in the way mstsc.exe xxxx.rdp in CMD, it can offer more custom parameters.;在此模式中 RDP 將以 CMD 執行 mstsc.exe xxxx.rdp 的方式開啟工作階段，可提供更多自訂參數。
Note: This mode will be automatically enabled if there are 2+ monitors with different display scaling on your PC and you selected the full screen mode.;注意：在全螢幕模式中，且目前客戶端有多個解析度不同的顯示器時，此模式將自動啟用。
Additional settings;額外命令
Preview rdp file;預覽 RDP 檔案
Check monitor number;檢視顯示器識別
server_editor_remote_app_name;程式名稱
server_editor_remote_app_name_tag;應用程式的檔案名稱 (例如 hello.exe)
server_editor_remote_app_fullname;遠端應用程式路徑
server_editor_remote_app_fullname_tag;遠端伺服器上的應用程式路徑 (例如 'C:\\Apps\\hello.exe')
about_page_how_to_use;說明
about_page_feedback;意見或需求反映
guidance_introduce;1Remote 可協助您管理遠端連線，並在任何時候建立工作階段。
guidance_feature_launcher_key;快速呼叫啟動器
guidance_feature_launcher_select;選擇項目
guidance_feature_launcher_connect;開啟工作階段
guidance_feature_launcher_menu;開啟選單
guidance_feature_tab_demo;可拆分或組合的 RDP, SSH, VNC, sFTP 遠端連線視窗
guidance_feature_start_setting1;請在開始使用前完成一些設定。
guidance_feature_start_setting2;这些配置稍后同样可以在设置界面中修改
Portable mode;可移動模式
Profile is saved where executable is located;設定檔案儲存在應用程式執行檔所在的位置
Install for current windows account;為目前的 Windows 使用者設定
Profile is saved in your Windows AppData folder;設定檔案儲存在 Users AppData 資料夾
word_oops;糟糕...
error_report_unexpected_error_occurred;應用程式發生了一些未知的問題，以下是詳細資訊：
error_report_to_clipboard;複製到剪貼簿
error_report_please_help_us_improve;請反映這些問題來協助我們改善 1Remote。
error_report_how_help_us_improve;只需要複製錯誤訊息，並透過下列任意方式反映這個問題！
error_report_send_by_email;透過電子郵件
error_report_send_by_github;透過 GitHub
logo_selector_open_file_dialog_title;選擇圖片
Default;預設
Exe path;Exe 檔案路徑
Cmd parameter;命令列參數
New runner name;新增執行器名稱
Can not be empty!;不能為空值！
Hosting;嵌入
Hosting this exe in 1Remote tab view?;在 1Remote 選項卡窗口中託管此 exe？
Caution: some exe can not be hosted in 1Remote.;注意：部分exe無法被1Remote託管，請自行測試。
Show environment variables;顯示環境變數
Add environment variables;新增環境變數
write permissions alert;"我們沒有對 `{0}` 的存取權限！
請嘗試使用以下方式來解決此問題：
1. 使用系統管理員身分執行
2. 修改該目錄的權限設定
3. 將 1Remote 移動到其他位置"
Follow system;與系統相同 (Windows Server 2012 R2 及以上的伺服器)
tag_tooltips;滑鼠左鍵：過濾出該標籤{0}Ctrl + 滑鼠左鍵：將該標籤加入至過濾清單 {0}Alt + 滑鼠左鍵：將該標籤加入到排除清單
Are you sure you want to close the connection?;確定要關閉連線嗎？
Hi there,;您好！
I hope that you find this app useful. If you would like to support my work, you can buy me a coffee or give a nice review. Thanks!;希望這個應用程式有幫助到您，如果想要支持我的專案，可以幫我買杯咖啡或給我一些評等，若有任何建議也歡迎您透過 GitHub 反映，謝謝您！
Give suggestions;給予建議
Buy a coffee;買杯咖啡
Give nice review;給個好評
Do not show this again in current version;不要在此版本再次顯示
User profile;使用者設定
Selected runner;選擇的執行器
Login with password;透過密碼登入
Login with ssh private key;透過私密金鑰登入
Supports the Putty-key only;僅支援 putty 金鑰
Supports the OpenSSH format key only with the internal SFTP client.;SFTP 內建客戶端只能支援 OpenSSH 格式的金鑰
Supports the OpenSSH format key and Putty-key with WinSCP.;WinSCP 可以支援 Putty 和 OpenSSH 兩種格式的金鑰
Environment variables;環境變數
Before runner start the environment variables will be set;環境變數會在執行器啟動前設定
Data Source name;數據源名稱
Please select a Data Source;請選擇數據源
Test connection;測試連接
Show XXX button;顯示 `{0}` 按鈕
Show recently used here;在此顯示最近的工作階段
Hide recently used;隱藏最近的工作階段
Leave blank to inherit the default value;留空以繼承默認值
Alternative;選擇
with alternative;有替代方案
Automatic address switching;自動切換位址
Availability detection;位址可用檢測
Check if address is available before connect;連接前檢查地址是否可用
When the default host or port is unavailable the alternate addresses will be tried in sequence;當默認主機或端口不可用時，將按順序嘗試備用地址
support multi-address multi-account;支持多地址多賬戶
We are not able to connect to xxx;我們無法連接到“{0}”！
XXX is already existed!;“{0}”已經存在！
XXX is not existed!;“{0}”不存在！
Show credentials info;顯示賬號信息
Sorting;排序
Sort by drag;自定義拖拽排序
We can not connect database:;無法連接到數據庫
We can not create tables on database:;無法創建數據表
We can not insert into database:;無法插入數據
We can not update on database:;無法更新數據
We can not read from database:;無法讀取數據
We can not select from database:;無法查詢數據
We can not delete from database:;無法刪除數據
because:;原因是
Pause;暫停
Updating;正在更新
Reconnecting;正在重連
Next update check;下次更新檢查
Next auto reconnect;下次自動重連
Pin;固定
Unpin;撤銷固定
This is your list of tags. Right click for a context menu to pin them on header.;這是您的標籤列表。右鍵單擊上下文菜單將其固定在標題上。
Create desktop shortcut;創建桌面快捷方式
Success;成功
Failed;失敗
Please complete the windows credentials verification;請完成 Windows 憑據驗證
Enter your credentials;輸入您的憑據
Before proceeding with sensitive operations, we need to make sure it is you.;在進行敏感操作之前，我們需要確保是您本人。
Verification failed. Please try again.;驗證失敗。請再試一次。
Security;安全
Windows credentials verification is required to view passwords;查看密碼需要 Windows 憑據驗證
Not existed;Not existed
Not a number;不是一個數字
Optional;選修的
Nullable;可空
Selections;選集
Const value;常數值
Description;描述
Prefix;字首
append blank after prefix;在前綴後面加上空格
append blank after value;在值後面加入空白
Do you want to replace the current parameter list with preset value?;是否要將目前參數清單替換為預設值？
One option per line;每行一個選項
Use vertical lines to separate descriptions;使用垂直線分隔描述（值|描述）
Automatically focus on the content when selecting a tab;選擇選項卡時自動對焦內容
Copy the port along with the address when copying;複製的時候把連接埠和位址一起複製
Place the close button on the left side to prevent accidental touches;將關閉按鈕置於左側，防止誤觸
Ask for password when open connect;開啟連線時詢問密碼
Remember the information above;記住上面的訊息
Quick Connect;快速連接
Allow Quick Connect to save entered address information;允許快速連接保存輸入的地址信息
Yes;是
No;否
Click on the icon above to change it to your own image;點擊上面的圖標將其更改為您自己的圖像
Always open in new window;始終在新視窗中打開
Set focus to local desktop when the mouse is moved out of RDP desktop;當滑鼠移出 RDP 桌面時將焦點設定到本機桌面
Close button behavior;關閉按鈕行為
Minimize to system tray;最小化系統托盤
Credentials;證書
Credentials Vault;憑證保險庫
Select credentials within the same database;在同一數據庫中選擇憑據
Reset main window location;重置主窗口位置
New server;新建伺服器
Delete folder XXXX and move its contents to parent folder;刪除文件夾 `{0}` 並將其內容移動到父文件夾？
ListViewMode;視圖
ListViewMode_List;列表
ListViewMode_Card;卡片
ListViewMode_Tree;樹形
Do not check for new version;
