key;en-us
server_editor_gateway_mode;Connection
server_editor_gateway_mode_automatically_detect;Automatically detect RD Gateway Server settings
server_editor_gateway_mode_use_these;Use the following RD Gateway Server settings
server_editor_gateway_mode_do_not_use;Do not use RD Gateway Server
server_editor_gateway_server_host_name;Host Name
server_editor_gateway_logon_method;Logon Method
server_editor_gateway_logon_method_psw;Password
server_editor_gateway_logon_method_smart_card;Smart Card
server_editor_gateway_bypass_gateway_for_local_address;Bypass RD Gateway Server for local address
How to select the specified monitors;How to select the specified monitors
mstsc.exe mode;mstsc.exe mode
In this mode RDP will start the session in the way mstsc.exe xxxx.rdp in CMD, it can offer more custom parameters.;In this mode RDP will start the session in the way 'mstsc.exe xxxx.rdp' in CMD, it can offer more custom parameters.
Note: This mode will be automatically enabled if there are 2+ monitors with different display scaling on your PC and you selected the full screen mode.;Note: This mode will be automatically enabled if there are 2+ monitors with different display scaling on your PC and you selected the full screen mode.
Additional settings;Additional settings
Preview rdp file;Preview rdp file
Check monitor number;Check monitor number
server_editor_remote_app_name;App Name
server_editor_remote_app_name_tag;Name of the app (e.g. hello)
server_editor_remote_app_fullname;App Path
server_editor_remote_app_fullname_tag;Full exe path on the server (e.g. C:\Apps\hello.exe)
about_page_how_to_use;How to use
about_page_feedback;Feedback
guidance_introduce;1Remote allows you to open a remote session at any time and anywhere.
guidance_feature_launcher_key;call the launcher by
guidance_feature_launcher_select;select item by
guidance_feature_launcher_connect;connect by
guidance_feature_launcher_menu;menu by
guidance_feature_tab_demo;Dragable, tearable, dockable remote session for RDP, SSH, VNC, sFTP...
guidance_feature_start_setting1;Please confirm some settings before first use.
guidance_feature_start_setting2;You are able to change this setting later in Options.
Portable mode;Portable mode
Profile is saved where executable is located;Profile is saved where executable is located
Install for current windows account;Install for current windows account
Profile is saved in your Windows AppData folder;Profile is saved in your Windows AppData folder
word_oops;Oops...
error_report_unexpected_error_occurred;Unexpected error occurred. Error info is shown below:
error_report_to_clipboard;Copy to clipboard
error_report_please_help_us_improve;Please help us improve 1Remote by reporting this error.
error_report_how_help_us_improve;Simply copy the error message and choose a way to report it.
error_report_send_by_email;Send by e-mail
error_report_send_by_github;Send by GitHub
logo_selector_open_file_dialog_title;select a picture
Default;Default
Exe path;Exe path
Cmd parameter;CMD parameter
New runner name;New runner name
Can not be empty!;Can not be empty!
Hosting;Hosting
Hosting this exe in 1Remote tab view?;Hosting this exe in 1Remote tab windowView?
Caution: some exe can not be hosted in 1Remote.;Caution: some exe can not be hosted by 1Remote, please test by your self.
Show environment variables;Show environment variables
Add environment variables;Add environment variables
write permissions alert;"We don't have write permissions for the `{0}` directory!
Please try:
1. run as administrator
2. change directory or file permissions 
3. move 1Remote to another folder"
Follow system;Follow system(Supported server: Windows Server 2012 R2 and above)
tag_tooltips;click : set this tag as filter{0}Ctrl + click : add this tag to the include list {0}Alt + click : add this tag to the exclude list
Are you sure you want to close the connection?;Are you sure you want to close the connection?
Hi there,;Hi there,
I hope that you find this app useful. If you would like to support my work, you can buy me a coffee or give a nice review. Thanks!;I hope that you find this app useful. If you would like to support my work, you can buy me a coffee or give a nice review. Thanks!
Give suggestions;Give suggestions
Buy a coffee;Buy a coffee
Give nice review;Give nice review
Do not show this again in current version;Do not show this again in current version
User profile;User profile
Selected runner;Selected runner
Login with password;Login with password
Login with ssh private key;Login with ssh private key
Supports the Putty-key only;Supports the Putty-key only
Supports the OpenSSH format key only with the internal SFTP client.;Supports the OpenSSH format key only with the internal SFTP client.
Supports the OpenSSH format key and Putty-key with WinSCP.;Supports the OpenSSH format key and Putty-key with WinSCP.
Environment variables;Environment variables
Before runner start the environment variables will be set;Befor runner start the environment variables will be set
Data Source name;Data Source name
Please select a Data Source;Please select a Data Source
Test connection;Test connection
Show XXX button;Show `{0}` button
Show recently used here;Show recently used here
Hide recently used;Hide recently used
Leave blank to inherit the default value;Leave blank to inherit the default value
Alternative;Alternative
with alternative;with alternative
Automatic address switching;Automatic address switching
Availability detection;Availability detection
Check if address is available before connect;Check if address is available before connect
When the default host or port is unavailable the alternate addresses will be tried in sequence;When the default host or port is unavailable the alternate addresses will be tried in sequence
support multi-address multi-account;support multi-address multi-account
We are not able to connect to xxx;We are not able to connect to `{0}`!
XXX is already existed!;`{0}` is already existed!
XXX is not existed!;`{0}` is not existed!
Show credentials info;Show credentials info
Sorting;Sorting
Sort by drag;Sort by drag
We can not connect database:;We can not connect database:
We can not create tables on database:;We can not create tables on database:
We can not insert into database:;We can not insert into database:
We can not update on database:;We can not update on database:
We can not read from database:;We can not read from database:
We can not select from database:;We can not select from database:
We can not delete from database:;We can not delete from database:
because:;because:
Pause;Pause
Updating;Updating
Reconnecting;Reconnecting
Next update check;Next update check
Next auto reconnect;Next auto reconnect
Pin;Pin
Unpin;Unpin
This is your list of tags. Right click for a context menu to pin them on header.;This is your list of tags. Right click for a context menu to pin them on header.
Create desktop shortcut;Create desktop shortcut
Success;Success
Failed;Failed
Please complete the windows credentials verification;Please complete the windows credentials verification
Enter your credentials;Enter your credentials
Before proceeding with sensitive operations, we need to make sure it is you.;Before proceeding with sensitive operations, we need to make sure it is you.
Verification failed. Please try again.;Verification failed. Please try again.
Security;Security
Windows credentials verification is required to view passwords;Windows credentials verification is required to view passwords
Not existed;Not existed
Not a number;Not a number
Optional;Optional
Nullable;Nullable
Selections;Selections
Const value;Const value
Description;Description
Prefix;Prefix
append blank after prefix;append blank after prefix
append blank after value;append blank after value
Do you want to replace the current parameter list with preset value?;Do you want to replace the current parameter list with preset value?
One option per line;One option per line
Use vertical lines to separate descriptions;Use vertical lines to separate descriptions(value|description)
Automatically focus on the content when selecting a tab;Automatically focus on the content when selecting a tab
Copy the port along with the address when copying;Copy the port along with the address when copying
Place the close button on the left side to prevent accidental touches;Place the close button on the left side to prevent accidental touches
Ask for password when open connect;Ask for password when open connect
Remember the information above;Remember the information above
Quick Connect;Quick Connect
Allow Quick Connect to save entered address information;Allow Quick Connect to save entered address information
Yes;Yes
No;No
Click on the icon above to change it to your own image;Click on the icon above to change it to your own image
Always open in new window;Always open in new window
Set focus to local desktop when the mouse is moved out of RDP desktop;Set focus to local desktop when the mouse is moved out of RDP desktop
Close button behavior;Close button behavior
Minimize to system tray;Minimize to system tray
Credentials;Credentials
Credentials Vault;Credentials Vault
Select credentials within the same database;Select credentials within the same database
Reset main window location;Reset main window location
